feedback,preprocessed_text,sentiment_score,label
"Ordered an expensive custom design boot. They falsely advertise in pictures a black shoe lace on the boot and when delivered it was navy. I raised with them and they give you the same speech as most call centers, a total run around instead of fixing and replacing. They then use blaming of computers and quality of picture as their excuse so be careful to order and check that you get what you understand in their descriptions rather than thinking the pictures they advertise is what you will get.",ordered expensive custom design boot falsely advertise pictures black shoe lace boot delivered navy raised give speech call centers total run around instead fixing replacing use blaming computers quality picture excuse careful order check get understand descriptions rather thinking pictures advertise get,-0.3182,negative
"Not sure how they illegally operate their website.Website is having hiccups.No cancellation remark about their 30 minutes cancellation window unless you try to search for it, which is not clear and not any merchandise standards.Chat and phonecalls are of no help.",sure illegally operate websitewebsite hiccupsno cancellation remark minutes cancellation window unless try search clear merchandise standardschat phonecalls help,0.765,negative
"I have a metcon that is super new, but it is peeling off in the front and back. This shoe gets only 3 years , it was expensive, as are all Nike shoes. They said they can only do something when shoes is 02 years old.",metcon super new peeling front back shoe gets years expensive nike shoes said something shoes years old,0.5994,positive
"So the scammers who ripped my brother off earlier bought their stuff at online at Nike and Nike won’t stop the order, everyone else they ordered stuff off said ‘not a problem’ and cancelled their orders, Nike however said after 12 calls and 4hrs of stress ‘that’s not our policy’ and refused to do anything, screw you Nike!",scammers ripped brother earlier bought stuff online nike nike wont stop order everyone else ordered stuff said problem cancelled orders nike however said calls 4hrs stress thats policy refused anything screw nike,-0.8027,negative
"I had to return shoes and the lady checked my states and returned my shoes and  she asked me do I want to write a review, I said okay then she said  let me scan on your phone, I gave her my phone then she scanned it and she started review without my notification and gave to me the phone,  that was unfair and uncritical",return shoes lady checked states returned shoes asked want write review said okay said let scan phone gave phone scanned started review without notification gave phone unfair uncritical,-0.2263,negative
Trust company with all kind of styles of snickers to many sports. For me is my favorite brand of shoes. Special in all retro styles have now.,trust company kind styles snickers many sports favorite brand shoes special retro styles,0.9081,positive
Effectively Nike use a call centre to process there complaints and returns and they are just given a Script and probably have nothing to do with Nike itself. I purchased a pair of trainers that fell apart after first use so I contacted them via chat as that is all you can do I was then told I could return them as they were faulty. I was sent a prepaid Royal Mail return label and sent it I then waited 5 days checked the tracking and it said it was delivered they then contacted me and said I sent an empty box which is a complete lie as I have the weight on the receipt which I sent to them and they didn’t respond I then contacted them again and they said there’s nothing they can do and won’t send a refund. So effectively they now have my trainers I sent they have refused me a refund and have called my a lier. I contacted my bank and they said it’s something they can do and are issuing a charge back on my transaction. I recommend doing this if you want your money back I hope this helps. Also it’s pretty easy to report them to trading standard too.,effectively nike use call centre process complaints returns given script probably nothing nike purchased pair trainers fell apart first use contacted via chat told could return faulty sent prepaid royal mail return label sent waited days checked tracking said delivered contacted said sent empty box complete lie weight receipt sent didnt respond contacted said theres nothing wont send refund effectively trainers sent refused refund called lier contacted bank said something issuing charge back transaction recommend want money back hope helps also pretty easy report trading standard,0.9042,positive
"I received an email saying my order was delivered, but I did not receive it.When checking the delivery image that DPD sent through, it shows an image of a package in the drivers hand in the street. I went to nike.com to get an update/information on my package, but was unable to find an email address to rectify this issue.I'd be most grateful if someone would respond to me with an update on the whereabouts of my package ASAP.",received email saying order delivered receive itwhen checking delivery image dpd sent shows image package drivers hand street went nikecom get updateinformation package unable find email address rectify issueid grateful someone would respond update whereabouts package asap,0.7351,positive
"Exactly the same experience as many others, Product ordered not arrived “lost in transit” when I reached out, no proactive approach from Nike. I went back they tried a refund which is not what I wanted, I was promised a new item would be sent. I then received confirmation of delivery… still no item. Still no proactive measures from Nike. Reach out again. They are happy to refund me… this is the absolute minimum this company could do without literally stealing my money they had for 2 months. Won’t be buying again, app deleted bring on the disrupters!",exactly experience many others product ordered arrived lost transit reached proactive approach nike went back tried refund wanted promised new item would sent received confirmation delivery still item still proactive measures nike reach happy refund absolute minimum company could without literally stealing money months wont buying app deleted bring disrupters,0.9185,positive
"Returned faulty shoes in November. I was told on 5th January that they had been inspected and a egift card would be issued within 7 days. We are now 21 days later and customer service keep fobbing me off.  Can’t make a complaint, can’t email anyone. The online chat people keep ending the chat. Poor service",returned faulty shoes november told 5th january inspected egift card would issued within days days later customer service keep fobbing cant make complaint cant email anyone online chat people keep ending chat poor service,-0.5442,negative
"I placed an order and am waiting to receive it. In two days I want to order more and find out that my account is blocked!Communication with the support service did not solve anything. They say my account is blocked for security reasons.What security. I am a registered customer, I want to make and pay for my order and I can't!This is the worst service ever!",placed order waiting receive two days want order find account blockedcommunication support service solve anything say account blocked security reasonswhat security registered customer want make pay order cantthis worst service ever,0.3182,positive
contacted them through their CHAT very quick and they change my shoes directly was very happy,contacted chat quick change shoes directly happy,0.5719,positive
"I would rate this company a zero if I could. I purchased a Nike tech fleece jacket from JD , instead of going to JD I went to NIKE (big mistake of mine) and opened a dispute in October 2022. However, NIKE said they spoke to JD and admitted over the phone it was a faulty batch they had sent to JD. They requested I send the jacket back, which I did in exchange for e-giftcard. It’s been nearly 5 months , no refund or e-giftcard. Nike customer service have been fobbing me off. They stole the jacket off us and won’t even return it back to us. EXTREMELY POOR customer service. Worst company. Considering it’s so big you would expect better service. DO NOT OPEN DISPUTES WITH NIKE. They steal your item and won’t compensate you with the refund. No idea how to contact someone and complain either. Very very frustrating and poor.",would rate company zero could purchased nike tech fleece jacket jd instead going jd went nike big mistake mine opened dispute october however nike said spoke jd admitted phone faulty batch sent jd requested send jacket back exchange egiftcard nearly months refund egiftcard nike customer service fobbing stole jacket us wont even return back us extremely poor customer service worst company considering big would expect better service open disputes nike steal item wont compensate refund idea contact someone complain either frustrating poor,-0.9741,negative
I have been using Nike for very long time. I used to buy from shops but now I use online services. It’s user friendly and extremely efficient. Purchase Return and other options are available and as a customer my love for the brand is getting higher and higher every time I use Nike,using nike long time used buy shops use online services user friendly extremely efficient purchase return options available customer love brand getting higher higher every time use nike,0.8883,positive
"Not happy, received my order with the bag ripped open. And the product inside not even in a plastic bag for extra protection. These paper bags needs to be changed because you have couriers like evri that don't take care of packages and it gets ripped open. The courier had to ask at the door if there is supposed to be one thing in the bag because it was fully open. Change your bags.",happy received order bag ripped open product inside even plastic bag extra protection paper bags needs changed couriers like evri dont take care packages gets ripped open courier ask door supposed one thing bag fully open change bags,0.5532,negative
"my Air Max which I bought for leisure time got a hole in the outsole in less than 3 months. However, I am happy with their Kyrie Irving basketball shoes and basketball shorts which are very light.",air max bought leisure time got hole outsole less months however happy kyrie irving basketball shoes basketball shorts light,0.5325,positive
"Happy with their sport shoes, they walk pretty well and with much comfort",happy sport shoes walk pretty well much comfort,0.8885,positive
"Have purchased custom trainers from the Nike website in the past, and was really happy with them and the service provided. I have tried logging in to do the same again, but I am being told I do not have an account, which is confusing. I re-registered and spent a while designing my custom trainers. However I have been trying to add these trainers into the basket to purchase for 3 days now with no joy whatsoever. I even tried adding a random item into the basket just to see if there was an issue just with the custom items but still not successful. I have messaged Nike but not yet had a response. Unfortunately I have decided to purchase from a different brand.",purchased custom trainers nike website past really happy service provided tried logging told account confusing reregistered spent designing custom trainers however trying add trainers basket purchase days joy whatsoever even tried adding random item basket see issue custom items still successful messaged nike yet response unfortunately decided purchase different brand,0.8516,negative
I ordered a custom set of Nikes. They honestly took some time to get here but im very stoked with the end result. ive never seen a pair of air max 97s this 🔥. my go to sneaker plug,ordered custom set nikes honestly took time get im stoked end result ive never seen pair air max 97s go sneaker plug,0.4588,positive
Excelent site and great customer service.The site is very easy to navigate and the returns are smooth.,excelent site great customer servicethe site easy navigate returns smooth,0.7906,positive
"Ordered a pair of trainers which weren't suitable, I returned however there was an issue on the courier side. Customer service were very swift to resolve. Also, delivery & quality were all great. Two new pairs ordered. Adding thanks to Lyle on Live chat today.",ordered pair trainers werent suitable returned however issue courier side customer service swift resolve also delivery quality great two new pairs ordered adding thanks lyle live chat today,0.886,positive
I bought Nike Air Max 97 from Nike one month ago and I wear them at work and I wear them all day long. They're so comfortable.5 star & 100% recommend,bought nike air max nike one month ago wear work wear day long theyre comfortable5 star recommend,0.3612,positive
"Row from Highpoint Shopping Centre, Nike store. I would like to acknowledge the fantastic customer service that I received from him. He is very friendly and makes the customers feel welcome. He seems to have a great attitude towards helping customers and overall, does his job very well.",row highpoint shopping centre nike store would like acknowledge fantastic customer service received friendly makes customers feel welcome seems great attitude towards helping customers overall job well,0.9623,positive
I just wanted to say that I highly rate Nike's customer service after having purchased a pair of running shoes for myself and my children. The shoes all turned up very quickly and I needed to return one of the pairs and was very pleasantly surprised to know that Nike accept online exchanges which a lot of places don't now. This was dealt with really quickly and easily with their online chat service and I am just awaiting the new pair! I think customer service has been the best I've had in a while compared to the sub par of lots of other companies when you purchase from them online.,wanted say highly rate nikes customer service purchased pair running shoes children shoes turned quickly needed return one pairs pleasantly surprised know nike accept online exchanges lot places dont dealt really quickly easily online chat service awaiting new pair think customer service best ive compared sub par lots companies purchase online,0.9257,positive
I like my shoes they came on time 100% great experience and service would buy again,like shoes came time great experience service would buy,0.765,positive
I tried to order the union Cortez collaboration through the SNKRS app and could not order them. I had to call Nikes customer support. A gentleman named Jon helped me figure the problem out and order the shoes I can’t wait to get in hand. And thank you Jon you helped me so much!,tried order union cortez collaboration snkrs app could order call nikes customer support gentleman named jon helped figure problem order shoes cant wait get hand thank jon helped much,-0.033,positive
"Don’t know why loads are crying tbh, easy to order and I get the order way before expected ordered 170 pound shoes box was perfect shoes were perfect,quick and easy.",dont know loads crying tbh easy order get order way expected ordered pound shoes box perfect shoes perfectquick easy,0.9012,positive
"This has got to be the WORST WEBSITE EVER.No matter how many devices, browsers or cards I try, I cannot check out, and when I called them they just say keep trying, get the App, try at home, try at work...well, WHY SHOULD I??? I think two hours spent trying to buy trainers is enough - if they can't be bothered actually fixing the problem then ADIDAS here we come...",got worst website everno matter many devices browsers cards try check called say keep trying get app try home try workwell think two hours spent trying buy trainers enough cant bothered actually fixing problem adidas come,-0.6945,negative
"Customised my airforce 1 trainers, very easy to do, told they would take around 6 weeks, seemed reasonable,  Informed all the time, and you could track the delivery. Mine arrived in only two weeks ( from Vietnam) fantastic,  thanks to all concerned. Happy  customer,  already planning for another pair. Thanks brendan",customised airforce trainers easy told would take around weeks seemed reasonable informed time could track delivery mine arrived two weeks vietnam fantastic thanks concerned happy customer already planning another pair thanks brendan,0.9432,positive
"Great customer experience as a Nike member.  Recently purchased golf shoes but after a few weeks one of the cleats had a tear, even though worn and thrown the box away it was not an issue and I had a full refund.  Have now purchased their spineless golf shoes for the summer.  Membership also gave me free returns.  First class service so far from my many purchases.",great customer experience nike member recently purchased golf shoes weeks one cleats tear even though worn thrown box away issue full refund purchased spineless golf shoes summer membership also gave free returns first class service far many purchases,0.7351,positive
"I had a very good experience with nike.com, i.e. it was the same identical product as in the pictures, the same selected size and they were transported very quickly and concretely identifying the location where the package is.  Nike.com Congratulations!",good experience nikecom ie identical product pictures selected size transported quickly concretely identifying location package nikecom congratulations,0.7783,positive
I was shopping today at Nike in Gunwhalf  Portsmouth and had great service and helped by a polite young man called Lee,shopping today nike gunwhalf portsmouth great service helped polite young man called lee,0.6249,positive
"Have been a passive Nike customer for years, but had my first complaint with them recently which they resolved within 10 minutes online.Have always been pleased with the quality of their products, and now that I know their customer service is top notch I'll continue to buy from them.",passive nike customer years first complaint recently resolved within minutes onlinehave always pleased quality products know customer service top notch ill continue buy,0.296,positive
I recently bought a pair of Nike vapour max for my son in black and he’s happy with his pair. Although the pair came a little late.,recently bought pair nike vapour max son black hes happy pair although pair came little late,0.5719,positive
I ordered a pair of new shoes and they are great comfortable stylish and the delivery was fast too it said it would come on Friday 28th October but it came instead on Monday 24th which is great,ordered pair new shoes great comfortable stylish delivery fast said would come friday 28th october came instead monday 24th great,0.91,positive
Their running clothing and shoes are the best out there. The Nike Alphafly Next% have given me some great run sessions and made sure I ran a 7 minute half marathon PB of 69:59! Always have fast delivery. The only time I’ve had an issue with something I’ve ordered wasn’t even their fault and they sorted it out for me.,running clothing shoes best nike alphafly next given great run sessions made sure ran minute half marathon pb always fast delivery time ive issue something ive ordered wasnt even fault sorted,0.9162,positive
I have a pair of epic luxe leggings that I ordered in November. I thought they were ok but this is a warning to others that the fabric is not like the other epic luxe leggings. The stretch and return is not as good and the leggings don’t move with you in the same way as old design/ fabrics. I have 5 old pairs! Crutch moves down and the comfort is not good,pair epic luxe leggings ordered november thought ok warning others fabric like epic luxe leggings stretch return good leggings dont move way old design fabrics old pairs crutch moves comfort good,0.8625,negative
"Bought a pair of Air Force One as a birthday gift; unfortunately they were faulty so had to exchange them for another pair. However, customer service was friendly, quick to respond, and the shipments (to Sweden) went very smooth. Really happy with the new pair. Will be buying from Nike again in the future! Gold star to the wonderful Kelly in customer service, that woman deserves a raise 🌟",bought pair air force one birthday gift unfortunately faulty exchange another pair however customer service friendly quick respond shipments sweden went smooth really happy new pair buying nike future gold star wonderful kelly customer service woman deserves raise,0.8777,positive
"Nike is not my go to running shoe but when i recieved a pair of Nike zoom runners as a gift i decided to use them as my work shoes. My 1st day wearing them i noticed they are super squeeky. It sounds like i am at a basketball game all day long. I do like the shoe. After i put my ortotics in, they are super comfortable but i absolutely hate the sqeeking all the time. I dislike it so much that i will probably not be sporting Nike kicks after these shoes. They look good and feel good which is important but the sqeeking will stop me from purchasing them ever.",nike go running shoe recieved pair nike zoom runners gift decided use work shoes 1st day wearing noticed super squeeky sounds like basketball game day long like shoe put ortotics super comfortable absolutely hate sqeeking time dislike much probably sporting nike kicks shoes look good feel good important sqeeking stop purchasing ever,0.9502,positive
Just joined Trustpilot but thought I’d write a few reviews for places I’ve been. although I really like my Nike trainers and find buying and returns on line fine. My disappointment using the SNKRS app is when using the raffle system & loosing (I’m not normally a bad looser) it’s very disappointing to see these trainers straight on E-bay at largely inflated prices.  Why not sell to people who want to use your product rather than someone after a quick profit.,joined trustpilot thought id write reviews places ive although really like nike trainers find buying returns line fine disappointment using snkrs app using raffle system loosing im normally bad looser disappointing see trainers straight ebay largely inflated prices sell people want use product rather someone quick profit,-0.3197,positive
"Ordered some Nike by you (air max 90's), delivery was fast, also returned a couple of pair of trainers which was super easy to do. Really happy thanks 😊.",ordered nike air max 90s delivery fast also returned couple pair trainers super easy really happy thanks,0.9322,positive
"I have to say it’s really good experience to buy online and in store, the only problem is that i NEVER win a Ruffle on SNKRS e i can never buy anything like dunk o jordan mid on the website Nike.com or application, please fix this bot situation where after 0.01 sec everything is sold out. But still love it like i do for 6 years now, but need FIX NOW!!",say really good experience buy online store problem never win ruffle snkrs e never buy anything like dunk jordan mid website nikecom application please fix bot situation sec everything sold still love like years need fix,0.1781,positive
Arrived ahead of delivery date. Free postage through Nike Membership app. They used DPD for delivery!!,arrived ahead delivery date free postage nike membership app used dpd delivery,0.5106,positive
"Amazing experience from Nike! A website discount code would not work, so I sent Nike a tweet. They said if I put the order through on the website and send them the order number they would apply it to my order, and only deduct the discounted total from my bank. Having read all these negative trustpilot reviews I was rather dubious, but as the order was a birthday present, I went ahead and ordered. My bank account showed a pending amount without the discount, but when the amount was eventually taken from my bank, it was for the discounted total. So the discount was honoured. Delivery was also earlier then expected, so the trainers arrived well before the birthday!! I ordered on 23rd November, the birthday was on the 1st of December, trainers arrived on the 26th November! It would seem those who have a positive experience with Nike are not leaving reviews, hence all the negative reviews. So I have decided to leave an honest review to reassure buyers, it is not all bad. Nike Twitter team were true to their word, and my trainers that were a gift arrived in plenty of time.",amazing experience nike website discount code would work sent nike tweet said put order website send order number would apply order deduct discounted total bank read negative trustpilot reviews rather dubious order birthday present went ahead ordered bank account showed pending amount without discount amount eventually taken bank discounted total discount honoured delivery also earlier expected trainers arrived well birthday ordered 23rd november birthday 1st december trainers arrived 26th november would seem positive experience nike leaving reviews hence negative reviews decided leave honest review reassure buyers bad nike twitter team true word trainers gift arrived plenty time,0.8807,positive
"Top Class Customer Service - I bought a hat from Nike, with problems experienced with their Carrier UPS. UPS are an appalling carrier, please Nike stop using them! but Nike have been great and helped me so much, their customer services team are superb thanks for all your kind help. J",top class customer service bought hat nike problems experienced carrier ups ups appalling carrier please nike stop using nike great helped much customer services team superb thanks kind help j,0.9313,positive
"In need of sneakers or other sportswear, without a doubt, I go here. Nike is always stylish, comfortable and of high quality. Here you can find both classic models and extremely custom ones of a wide variety of colors and textures. In my wardrobe there are sneakers, pants, t-shirts, bags from this brand. Nike can be worn not only in the gym, but also in everyday life",need sneakers sportswear without doubt go nike always stylish comfortable high quality find classic models extremely custom ones wide variety colors textures wardrobe sneakers pants tshirts bags brand nike worn gym also everyday life,0.4956,positive
Favourite place to order from!! So much better than JD Sports. Haven’t got a single complaint. Everything I order arrives quickly and amazing quality. Can’t fault them in the slightest. Customer service team are also very helpful informing you on your parcels status and when it’ll be delivered etc. Ordered so many shoes and leggings from there.,favourite place order much better jd sports havent got single complaint everything order arrives quickly amazing quality cant fault slightest customer service team also helpful informing parcels status itll delivered etc ordered many shoes leggings,0.9126,positive
"My first order from Nike online because it was the only site in the known universe with the trainers that I wanted. Online site very straightforward and simple: order, pay, fulfill, ship (the trainers were shipped from Belgium via the Netherlands), delivered, received exactly as ordered, very happy.Fulfillment/shipment/delivery were indeed impressive; 8 days from my online order to trainers on my feet. Excellent customer experience and wouldn't hesitate to order from Nike online in future.",first order nike online site known universe trainers wanted online site straightforward simple order pay fulfill ship trainers shipped belgium via netherlands delivered received exactly ordered happyfulfillmentshipmentdelivery indeed impressive days online order trainers feet excellent customer experience wouldnt hesitate order nike online future,0.8837,positive
"Would be 4 stars, but they would not honor the price of my local Nike store.I've asked management several times to order 12 wide where I live in some of their nicer shoes available, but they refuse to carry anything but the clunky Monarch :(  They always tell me to go online, but the price is nearly double what the local store has in the same model shoes!  Should be mandatory to carry the few other models that are available in wide!",would stars would honor price local nike storeive asked management several times order wide live nicer shoes available refuse carry anything clunky monarch always tell go online price nearly double local store model shoes mandatory carry models available wide,0.6369,negative
"Nike does it right with order, delivery, return and money back. Superrep was had too smelly materials. Invincible has non stinking materials and most comfortable to run in. I hope they try to make all products non smelling and add more payment options.",nike right order delivery return money back superrep smelly materials invincible non stinking materials comfortable run hope try make products non smelling add payment options,0.7184,positive
